        Date        hcnps_intlk_cz_t_front_55
2023-11-19 00:00:00                     22.83
2023-11-19 00:00:06                    22.862
2023-11-19 00:02:32                    22.832
2023-11-19 00:02:56                    22.874
2023-11-19 00:03:44                     22.85
2023-11-19 00:06:10                     22.88
2023-11-19 00:06:34                    22.858
2023-11-19 00:07:47                    22.879
2023-11-19 00:10:36                     22.84
2023-11-19 00:11:25                    22.877
2023-11-19 00:13:01                     22.85
2023-11-19 00:15:27                    22.895
2023-11-19 00:15:51                     22.86
2023-11-19 00:21:30                    22.904
2023-11-19 00:21:54                    22.878
2023-11-19 00:31:11                    22.902
2023-11-19 00:31:59                    22.863
2023-11-19 00:33:12                    22.887
2023-11-19 00:37:14                     22.91
2023-11-19 00:39:15                    22.885
2023-11-19 00:40:04                    22.925
2023-11-19 00:40:52                      22.9
2023-11-19 00:48:57                    22.923
2023-11-19 00:51:46                    22.881
2023-11-19 00:52:10                    22.914
2023-11-19 00:52:59                    22.938
2023-11-19 00:53:23                    22.904
2023-11-19 00:55:00                    22.934
2023-11-19 00:55:24                    22.902
2023-11-19 00:56:12                    22.926
2023-11-19 01:09:32                    22.949
2023-11-19 01:09:56                    22.924
2023-11-19 01:21:38                    22.949
2023-11-19 01:22:51                    22.914
2023-11-19 01:23:15                    22.946
2023-11-19 01:23:39                    22.919
2023-11-19 01:26:29                    22.941
2023-11-19 01:27:41                    22.907
2023-11-19 01:28:54                    22.932
2023-11-19 01:30:55                    22.909
2023-11-19 01:31:19                    22.956
2023-11-19 01:32:08                    22.908
2023-11-19 01:32:32                    22.944
2023-11-19 01:37:23                    22.917
2023-11-19 01:39:00                    22.947
2023-11-19 01:40:12                    22.914
2023-11-19 01:42:13                    22.942
2023-11-19 01:45:27                     22.92
2023-11-19 01:49:29                    22.951
2023-11-19 01:49:53                    22.914
2023-11-19 01:50:18                    22.942
2023-11-19 01:52:43                     22.92
2023-11-19 01:53:56                    22.949
2023-11-19 01:56:21                    22.917
2023-11-19 01:59:35                    22.951
2023-11-19 02:01:12                    22.915
2023-11-19 02:02:00                    22.939
2023-11-19 02:08:28                    22.917
2023-11-19 02:08:52                    22.956
2023-11-19 02:10:29                    22.934
2023-11-19 02:20:10                    22.956
2023-11-19 02:20:34                    22.922
2023-11-19 02:22:59                    22.947
2023-11-19 02:23:48                    22.926
2023-11-19 02:25:00                    22.949
2023-11-19 02:29:03                    22.927
2023-11-19 02:31:52                    22.949
2023-11-19 02:32:16                    22.927
2023-11-19 02:33:29                    22.949
2023-11-19 02:36:18                    22.922
2023-11-19 02:36:42                    22.973
2023-11-19 02:37:07                    22.939
2023-11-19 02:51:38                    22.915
2023-11-19 02:52:03                    22.969
