        Date        hcnps_intlk_cz_t_back_9
2023-10-11 00:00:00                  21.917
2023-10-11 00:01:08                  21.897
2023-10-11 00:01:35                   21.92
2023-10-11 00:02:56                  21.877
2023-10-11 00:03:23                  21.907
2023-10-11 00:07:25                  21.885
2023-10-11 00:09:39                  21.912
2023-10-11 00:11:54                   21.89
2023-10-11 00:15:29                  21.865
2023-10-11 00:15:56                  21.895
2023-10-11 00:16:50                  21.872
2023-10-11 00:18:11                  21.845
2023-10-11 00:20:25                   21.88
2023-10-11 00:21:19                  21.855
2023-10-11 00:23:33                  21.877
2023-10-11 00:24:27                  21.855
2023-10-11 00:26:42                  21.877
2023-10-11 00:28:29                   21.85
2023-10-11 00:29:50                  21.875
2023-10-11 00:31:11                   21.85
2023-10-11 00:32:31                   21.88
2023-10-11 00:33:52                  21.848
2023-10-11 00:50:28                   21.87
2023-10-11 00:54:03                  21.849
2023-10-11 00:54:30                   21.87
2023-10-11 00:55:51                  21.848
2023-10-11 00:56:17                  21.879
2023-10-11 00:57:11                  21.853
2023-10-11 00:57:38                  21.895
2023-10-11 00:58:59                  21.869
2023-10-11 00:59:26                  21.901
2023-10-11 01:03:28                  21.924
2023-10-11 01:03:55                  21.899
2023-10-11 01:04:22                  21.928
2023-10-11 01:09:18                   21.95
2023-10-11 01:10:38                   21.92
2023-10-11 01:11:05                  21.948
2023-10-11 01:11:59                  21.973
2023-10-11 01:14:14                  21.951
2023-10-11 01:15:34                  21.975
2023-10-11 01:20:03                  21.998
2023-10-11 01:22:18                  22.029
2023-10-11 01:25:26                  22.057
2023-10-11 01:30:49                  22.077
2023-10-11 01:33:31                  22.099
2023-10-11 01:33:57                  22.075
2023-10-11 01:34:51                  22.099
2023-10-11 01:37:06                  22.124
2023-10-11 01:37:33                  22.092
2023-10-11 01:38:00                  22.124
2023-10-11 01:38:53                  22.102
2023-10-11 01:43:23                  22.134
2023-10-11 01:43:49                  22.112
2023-10-11 01:45:10                  22.139
2023-10-11 01:48:45                  22.169
2023-10-11 01:49:12                  22.139
2023-10-11 01:51:27                   22.16
2023-10-11 01:53:41                  22.196
2023-10-11 01:54:35                  22.174
2023-10-11 01:56:50                  22.198
2023-10-11 01:57:17                  22.177
2023-10-11 01:59:04                  22.201
2023-10-11 02:00:25                  22.169
2023-10-11 02:00:52                  22.192
2023-10-11 02:01:46                   22.17
2023-10-11 02:04:54                  22.196
2023-10-11 02:05:48                  22.173
2023-10-11 02:09:50                  22.152
2023-10-11 02:10:17                  22.174
2023-10-11 02:14:19                  22.149
2023-10-11 02:15:40                  22.189
2023-10-11 02:16:07                  22.149
2023-10-11 02:20:09                  22.176
2023-10-11 02:20:36                  22.151
2023-10-11 02:22:23                   22.13
2023-10-11 02:23:44                  22.156
2023-10-11 02:25:32                  22.131
2023-10-11 02:28:40                  22.156
2023-10-11 02:30:28                  22.122
2023-10-11 02:30:55                  22.144
2023-10-11 02:34:03                  22.122
2023-10-11 02:34:30                  22.161
2023-10-11 02:34:57                  22.131
2023-10-11 02:36:18                  22.161
2023-10-11 02:36:44                  22.131
2023-10-11 02:38:05                  22.109
2023-10-11 02:38:32                  22.141
2023-10-11 02:38:59                  22.117
2023-10-11 02:43:28                  22.141
2023-10-11 02:46:36                  22.108
2023-10-11 02:47:03                  22.136
2023-10-11 02:50:39                  22.109
2023-10-11 02:52:26                  22.141
2023-10-11 02:52:53                  22.103
2023-10-11 02:53:47                  22.126
2023-10-11 02:54:14                  22.099
2023-10-11 02:54:41                  22.126
2023-10-11 02:56:55                  22.083
2023-10-11 02:57:22                  22.111
2023-10-11 03:00:04                  22.077
2023-10-11 03:00:30                  22.103
2023-10-11 03:00:57                  22.081
2023-10-11 03:01:51                  22.108
2023-10-11 03:02:18                  22.081
2023-10-11 03:03:12                  22.051
2023-10-11 03:04:06                   22.08
2023-10-11 03:04:33                  22.058
2023-10-11 03:07:14                  22.017
2023-10-11 03:07:41                  22.048
2023-10-11 03:08:08                  22.022
2023-10-11 03:10:49                  22.045
2023-10-11 03:11:16                  22.005
2023-10-11 03:16:12                  22.032
2023-10-11 03:16:39                   22.01
2023-10-11 03:28:19                  22.037
2023-10-11 03:28:46                  22.009
2023-10-11 03:34:35                  21.985
2023-10-11 03:35:29                  22.017
2023-10-11 03:36:23                  21.989
2023-10-11 03:38:11                  22.014
2023-10-11 03:39:31                  21.986
2023-10-11 03:40:25                  22.012
2023-10-11 03:43:06                  21.987
2023-10-11 03:44:54                  22.009
2023-10-11 03:45:21                  21.983
2023-10-11 03:47:36                  22.007
2023-10-11 03:48:29                  21.984
2023-10-11 03:55:13                  21.961
2023-10-11 03:57:27                  21.988
2023-10-11 03:58:48                  21.955
2023-10-11 04:01:03                  21.981
2023-10-11 04:01:30                   21.96
2023-10-11 04:13:36                  21.917
2023-10-11 04:14:30                  21.942
2023-10-11 04:15:51                   21.92
2023-10-11 04:18:05                  21.942
2023-10-11 04:21:13                  21.897
2023-10-11 04:28:24                   21.92
2023-10-11 04:28:51                  21.898
2023-10-11 04:30:12                  21.922
2023-10-11 04:34:41                  21.895
2023-10-11 04:35:08                  21.924
2023-10-11 04:38:43                  21.902
2023-10-11 04:39:10                  21.925
2023-10-11 04:40:31                  21.902
2023-10-11 04:44:33                  21.923
2023-10-11 04:45:00                   21.89
2023-10-11 04:45:53                  21.915
2023-10-11 04:46:47                  21.891
2023-10-11 04:47:41                  21.936
2023-10-11 04:48:35                  21.893
2023-10-11 04:50:49                  21.915
2023-10-11 04:52:37                  21.936
2023-10-11 04:58:54                  21.965
2023-10-11 04:59:20                  21.931
2023-10-11 05:01:08                  21.965
2023-10-11 05:02:56                  21.944
2023-10-11 05:04:16                  21.975
2023-10-11 05:09:12                      22
2023-10-11 05:11:00                  22.022
2023-10-11 05:12:48                  22.047
2023-10-11 05:13:15                  22.015
2023-10-11 05:15:02                  22.042
2023-10-11 05:15:56                  22.022
2023-10-11 05:22:13                  22.047
2023-10-11 05:24:27                  22.069
2023-10-11 05:25:21                  22.046
2023-10-11 05:27:36                  22.072
2023-10-11 05:29:50                  22.049
2023-10-11 05:30:17                   22.07
2023-10-11 05:32:59                  22.104
2023-10-11 05:35:13                  22.077
2023-10-11 05:36:07                  22.122
2023-10-11 05:36:34                  22.099
2023-10-11 05:39:15                   22.12
2023-10-11 05:41:03                  22.099
2023-10-11 05:41:57                  22.147
2023-10-11 05:44:11                  22.111
2023-10-11 05:44:38                  22.133
2023-10-11 05:47:20                  22.154
2023-10-11 05:48:40                  22.128
2023-10-11 05:49:34                  22.173
2023-10-11 05:50:28                  22.152
2023-10-11 05:51:49                  22.182
2023-10-11 05:55:51                  22.206
2023-10-11 05:56:45                  22.183
2023-10-11 05:57:12                  22.223
2023-10-11 05:58:05                  22.174
2023-10-11 05:58:32                  22.213
2023-10-11 06:00:20                   22.19
2023-10-11 06:00:47                  22.219
2023-10-11 06:01:41                  22.195
2023-10-11 06:03:55                   22.22
2023-10-11 06:07:57                  22.194
2023-10-11 06:08:24                  22.245
2023-10-11 06:09:45                   22.22
2023-10-11 06:12:53                  22.241
2023-10-11 06:14:41                  22.212
2023-10-11 06:17:22                  22.247
2023-10-11 06:18:16                  22.226
2023-10-11 06:19:37                  22.199
2023-10-11 06:20:31                  22.222
2023-10-11 06:25:27                  22.191
2023-10-11 06:25:54                  22.213
2023-10-11 06:27:14                  22.186
2023-10-11 06:28:35                  22.209
2023-10-11 06:29:02                  22.181
2023-10-11 06:30:23                  22.159
2023-10-11 06:30:50                  22.181
2023-10-11 06:31:43                  22.152
2023-10-11 06:34:25                  22.131
2023-10-11 06:34:52                  22.161
2023-10-11 06:36:12                  22.129
2023-10-11 06:37:06                  22.152
2023-10-11 06:38:00                  22.129
2023-10-11 06:38:27                  22.156
2023-10-11 06:38:54                  22.134
2023-10-11 06:39:21                  22.112
2023-10-11 06:40:15                  22.136
2023-10-11 06:41:35                  22.109
2023-10-11 06:50:34                  22.134
2023-10-11 06:51:54                  22.112
2023-10-11 06:54:09                  22.144
2023-10-11 06:55:30                  22.116
2023-10-11 07:00:25                  22.088
2023-10-11 07:01:46                  22.112
2023-10-11 07:02:40                  22.072
2023-10-11 07:04:01                  22.095
2023-10-11 07:06:15                  22.116
2023-10-11 07:06:42                  22.091
2023-10-11 07:08:03                  22.115
2023-10-11 07:08:57                  22.086
2023-10-11 07:09:24                  22.123
2023-10-11 07:09:50                  22.101
2023-10-11 07:12:59                  22.075
2023-10-11 07:13:26                  22.107
2023-10-11 07:15:40                  22.084
2023-10-11 07:16:07                  22.111
2023-10-11 07:17:55                  22.088
2023-10-11 07:19:16                  22.123
2023-10-11 07:19:43                   22.09
2023-10-11 07:23:18                  22.059
2023-10-11 07:23:45                  22.085
2023-10-11 07:25:32                  22.057
2023-10-11 07:25:59                  22.085
2023-10-11 07:26:26                   22.06
2023-10-11 07:29:35                  22.085
2023-10-11 07:30:01                  22.054
2023-10-11 07:33:10                  22.015
2023-10-11 07:33:37                  22.064
2023-10-11 07:34:04                  22.037
2023-10-11 07:34:31                  22.066
2023-10-11 07:35:24                  22.044
2023-10-11 07:40:20                  22.015
2023-10-11 07:40:47                  22.037
2023-10-11 07:45:43                  22.002
2023-10-11 07:47:58                  22.024
2023-10-11 07:49:46                  21.999
2023-10-11 07:51:33                  22.029
2023-10-11 07:52:00                  21.991
2023-10-11 07:53:48                  22.015
2023-10-11 07:54:42                  21.983
2023-10-11 07:57:50                  21.953
2023-10-11 07:58:44                  21.975
2023-10-11 08:00:31                   21.95
2023-10-11 08:07:15                  21.924
2023-10-11 08:08:09                  21.946
2023-10-11 08:08:36                  21.912
2023-10-11 08:09:57                  21.937
2023-10-11 08:10:24                  21.912
2023-10-11 08:11:17                  21.934
2023-10-11 08:12:11                  21.904
2023-10-11 08:13:59                  21.929
2023-10-11 08:19:22                  21.904
2023-10-11 08:26:05                  21.882
2023-10-11 08:27:53                  21.909
2023-10-11 08:28:20                  21.879
2023-10-11 08:31:55                  21.858
2023-10-11 08:37:45                  21.835
2023-10-11 08:40:00                  21.802
2023-10-11 08:40:53                  21.837
2023-10-11 08:41:20                  21.815
2023-10-11 08:47:10                  21.788
2023-10-11 08:47:37                  21.819
2023-10-11 08:50:19                  21.787
2023-10-11 08:54:21                  21.819
2023-10-11 08:55:14                  21.783
2023-10-11 08:57:56                   21.81
2023-10-11 08:58:23                  21.787
2023-10-11 09:01:58                  21.761
2023-10-11 09:02:25                  21.804
2023-10-11 09:04:13                  21.779
2023-10-11 09:05:06                  21.812
2023-10-11 09:06:27                  21.789
2023-10-11 09:08:42                  21.816
