        Date        hcnps_intlk_chiller_CZ_read_chiller_temp
2023-11-09 00:00:00                                    19.99
2023-11-09 00:00:14                                    20.01
2023-11-09 00:02:02                                    19.97
2023-11-09 00:02:28                                       20
2023-11-09 00:05:10                                    19.97
2023-11-09 00:06:04                                    20.01
2023-11-09 00:06:58                                    19.98
2023-11-09 00:11:54                                    20.01
2023-11-09 00:12:21                                    19.98
2023-11-09 00:15:29                                    20.01
2023-11-09 00:15:56                                    19.98
2023-11-09 00:17:44                                    19.93
2023-11-09 00:18:11                                    19.96
2023-11-09 00:19:04                                    19.99
2023-11-09 00:19:31                                    19.96
2023-11-09 00:19:58                                     19.9
2023-11-09 00:20:25                                    19.96
2023-11-09 00:22:13                                       20
2023-11-09 00:26:15                                    20.03
2023-11-09 00:27:09                                    19.96
2023-11-09 00:27:36                                    20.01
2023-11-09 00:31:38                                    20.04
2023-11-09 00:35:41                                    20.07
2023-11-09 00:39:16                                    20.03
2023-11-09 00:39:43                                       20
2023-11-09 00:40:10                                    19.97
2023-11-09 00:41:30                                    19.92
2023-11-09 00:42:24                                    19.95
2023-11-09 00:44:12                                    19.99
2023-11-09 00:45:59                                    20.03
2023-11-09 00:48:14                                    20.06
2023-11-09 00:48:41                                    20.03
2023-11-09 00:49:08                                    19.97
2023-11-09 00:49:35                                       20
2023-11-09 00:50:02                                    20.03
2023-11-09 00:51:49                                    20.07
2023-11-09 00:52:43                                    20.04
2023-11-09 00:53:37                                    20.07
2023-11-09 00:57:39                                    20.04
2023-11-09 00:58:33                                       20
2023-11-09 00:59:00                                    20.04
2023-11-09 00:59:54                                       20
2023-11-09 01:00:48                                    20.03
2023-11-09 01:01:42                                       20
2023-11-09 01:02:35                                    20.03
2023-11-09 01:03:29                                       20
2023-11-09 01:06:11                                    20.03
2023-11-09 01:07:32                                       20
2023-11-09 01:09:19                                    19.97
2023-11-09 01:09:46                                    20.01
2023-11-09 01:10:40                                    19.99
2023-11-09 01:11:34                                    20.02
2023-11-09 01:12:28                                    19.99
2023-11-09 01:14:15                                    19.94
2023-11-09 01:15:09                                    19.97
2023-11-09 01:17:24                                       20
2023-11-09 01:17:51                                    19.97
2023-11-09 01:26:22                                    19.94
2023-11-09 01:27:43                                    19.97
2023-11-09 01:28:10                                       20
2023-11-09 01:29:03                                    19.97
2023-11-09 01:30:24                                    19.93
2023-11-09 01:31:18                                    19.97
2023-11-09 01:33:33                                    20.01
2023-11-09 01:37:08                                    20.04
2023-11-09 01:42:58                                    20.01
2023-11-09 01:43:52                                    20.04
2023-11-09 01:46:33                                    20.07
2023-11-09 01:49:15                                    20.04
2023-11-09 01:50:09                                    20.07
2023-11-09 01:51:02                                    20.04
2023-11-09 01:51:56                                    20.08
2023-11-09 01:52:50                                    20.04
2023-11-09 01:53:44                                    20.08
2023-11-09 01:54:11                                    20.05
2023-11-09 01:56:25                                    20.01
2023-11-09 01:57:19                                    20.04
2023-11-09 02:05:24                                       20
2023-11-09 02:06:44                                    20.03
2023-11-09 02:08:59                                       20
2023-11-09 02:09:26                                    19.96
2023-11-09 02:09:53                                    20.02
2023-11-09 02:10:46                                    19.99
2023-11-09 02:11:13                                    19.95
2023-11-09 02:11:40                                    19.98
2023-11-09 02:15:42                                    20.01
2023-11-09 02:16:09                                    19.97
2023-11-09 02:17:30                                    20.02
2023-11-09 02:17:57                                    19.99
2023-11-09 02:19:18                                    20.01
2023-11-09 02:19:45                                    19.98
2023-11-09 02:23:47                                    19.95
2023-11-09 02:24:14                                    19.99
2023-11-09 02:25:08                                    19.96
2023-11-09 02:26:55                                     19.9
2023-11-09 02:27:22                                    19.93
2023-11-09 02:30:04                                    19.98
2023-11-09 02:30:31                                    19.95
2023-11-09 02:32:18                                    19.99
2023-11-09 02:33:12                                    20.01
2023-11-09 02:33:39                                    20.04
2023-11-09 02:35:53                                    20.07
2023-11-09 02:40:23                                    20.04
2023-11-09 02:40:50                                    20.07
2023-11-09 02:45:19                                    20.04
2023-11-09 02:50:42                                    20.07
2023-11-09 02:51:35                                    20.03
