        Date        hcnps_intlk_chiller_EZ_read_chiller_temp
2023-10-10 08:00:00                                    19.98
2023-10-10 08:19:29                                    20.01
2023-10-10 08:19:56                                    19.97
2023-10-10 08:21:16                                    20.01
2023-10-10 08:21:43                                    19.99
2023-10-10 08:22:37                                    20.01
2023-10-10 08:23:31                                    19.98
2023-10-10 08:24:52                                    20.02
2023-10-10 08:31:08                                    19.99
2023-10-10 08:31:35                                    20.01
2023-10-10 08:37:25                                    20.04
2023-10-10 08:37:52                                    20.01
2023-10-10 08:39:13                                    20.04
2023-10-10 08:49:04                                    20.01
2023-10-10 08:49:58                                    20.04
2023-10-10 08:51:19                                    20.01
2023-10-10 08:54:00                                    20.04
2023-10-10 09:02:59                                    20.07
2023-10-10 09:05:40                                    20.03
2023-10-10 09:06:34                                    20.07
2023-10-10 09:07:27                                    20.03
2023-10-10 09:10:36                                    19.99
2023-10-10 09:13:17                                    19.96
2023-10-10 09:13:44                                    19.99
2023-10-10 09:14:11                                    19.95
2023-10-10 09:18:13                                    19.92
2023-10-10 09:18:40                                    19.96
2023-10-10 09:20:01                                    19.92
2023-10-10 09:20:55                                    19.95
2023-10-10 09:21:48                                     19.9
2023-10-10 09:22:15                                    19.95
2023-10-10 09:23:36                                    19.92
2023-10-10 09:24:57                                    19.96
2023-10-10 09:28:05                                    19.99
2023-10-10 09:28:59                                    19.96
2023-10-10 09:31:13                                    19.99
2023-10-10 09:31:40                                    20.01
2023-10-10 09:32:34                                    19.98
2023-10-10 09:35:16                                    20.01
2023-10-10 09:35:42                                    19.99
2023-10-10 09:37:03                                    20.01
2023-10-10 09:37:30                                    19.99
2023-10-10 09:38:24                                    19.96
2023-10-10 09:39:18                                    20.01
2023-10-10 09:39:45                                    19.98
2023-10-10 09:40:38                                    20.01
2023-10-10 09:41:05                                    19.98
2023-10-10 09:47:22                                    19.95
2023-10-10 09:47:49                                    19.98
2023-10-10 09:51:51                                    20.01
2023-10-10 09:52:18                                    19.98
2023-10-10 09:54:59                                    20.02
2023-10-10 09:56:20                                    19.98
2023-10-10 09:57:14                                    20.02
2023-10-10 09:58:08                                    19.99
2023-10-10 09:59:02                                    20.02
2023-10-10 09:59:55                                    19.99
2023-10-10 10:00:49                                    20.01
2023-10-10 10:01:43                                    19.98
2023-10-10 10:02:37                                    20.02
2023-10-10 10:03:04                                    19.99
2023-10-10 10:03:57                                    20.01
2023-10-10 10:05:18                                    19.99
2023-10-10 10:06:12                                    20.02
2023-10-10 10:08:26                                    19.99
2023-10-10 10:09:20                                    20.01
2023-10-10 10:10:41                                    19.98
2023-10-10 10:11:35                                    20.01
2023-10-10 10:12:02                                    19.98
2023-10-10 10:16:58                                    20.01
2023-10-10 10:17:51                                    19.99
2023-10-10 10:20:33                                    20.01
2023-10-10 10:21:27                                    19.97
2023-10-10 10:24:08                                       20
2023-10-10 10:29:04                                    19.97
2023-10-10 10:29:31                                    20.01
2023-10-10 10:29:58                                    19.97
2023-10-10 10:37:08                                       20
2023-10-10 10:37:35                                    19.97
2023-10-10 10:44:46                                    19.93
2023-10-10 10:45:39                                    19.96
2023-10-10 10:54:11                                    19.91
2023-10-10 10:54:37                                    19.96
2023-10-10 10:55:58                                    19.93
2023-10-10 10:56:25                                    19.97
2023-10-10 11:04:02                                       20
2023-10-10 11:06:44                                    19.97
2023-10-10 11:11:13                                       20
2023-10-10 11:19:44                                    19.97
2023-10-10 11:20:11                                       20
2023-10-10 11:21:32                                    19.96
2023-10-10 11:21:59                                    19.99
2023-10-10 11:31:24                                    20.01
2023-10-10 11:31:51                                    19.98
2023-10-10 11:34:59                                    20.02
2023-10-10 11:35:53                                    19.98
2023-10-10 11:38:34                                    20.01
2023-10-10 11:39:28                                    19.99
2023-10-10 11:39:55                                    20.01
2023-10-10 11:41:43                                    19.99
2023-10-10 11:42:09                                    20.01
2023-10-10 11:43:03                                    19.99
2023-10-10 11:43:57                                    20.02
2023-10-10 11:44:51                                    19.99
2023-10-10 11:45:45                                    20.02
2023-10-10 11:46:38                                    19.99
2023-10-10 11:47:32                                    20.01
2023-10-10 11:47:59                                    19.99
2023-10-10 11:49:20                                    20.02
2023-10-10 11:50:14                                    19.99
2023-10-10 11:51:07                                    20.03
2023-10-10 11:52:01                                    19.98
2023-10-10 11:52:55                                    20.01
2023-10-10 11:53:49                                    19.99
2023-10-10 11:54:43                                    20.02
2023-10-10 11:56:03                                    19.99
2023-10-10 11:56:30                                    20.01
2023-10-10 11:57:24                                    19.99
2023-10-10 12:00:05                                    20.01
2023-10-10 12:00:59                                    19.99
2023-10-10 12:01:26                                    19.95
2023-10-10 12:01:53                                    20.01
2023-10-10 12:02:47                                    19.99
2023-10-10 12:05:28                                    20.02
2023-10-10 12:06:49                                    19.98
2023-10-10 12:07:16                                    20.01
2023-10-10 12:08:10                                    19.99
2023-10-10 12:09:04                                    20.02
2023-10-10 12:10:24                                    19.99
2023-10-10 12:10:51                                    20.01
2023-10-10 12:11:45                                    19.99
2023-10-10 12:14:53                                    20.02
2023-10-10 12:15:47                                    19.99
2023-10-10 12:16:41                                    20.02
2023-10-10 12:17:35                                    19.99
2023-10-10 12:18:02                                    20.01
2023-10-10 12:27:27                                    20.04
