        Date        hchv30:00:000:VMon
2023-10-11 00:00:00                  0
2023-10-11 09:39:00        <undefined>
2023-10-11 10:19:24                  0
2023-10-11 10:19:38               9.25
2023-10-11 10:19:39              52.49
2023-10-11 10:19:39              91.21
2023-10-11 10:19:41             131.22
2023-10-11 10:19:41             168.88
2023-10-11 10:19:42             208.55
2023-10-11 10:19:43             246.11
2023-10-11 10:19:43             286.04
2023-10-11 10:19:44             324.67
2023-10-11 10:19:45             363.37
2023-10-11 10:19:46             401.66
2023-10-11 10:19:47             440.12
2023-10-11 10:19:47             478.48
2023-10-11 10:19:48             516.98
2023-10-11 10:19:49             555.41
2023-10-11 10:19:49             593.91
2023-10-11 10:19:51             632.39
2023-10-11 10:19:51             670.81
2023-10-11 10:19:52             709.27
2023-10-11 10:19:53             744.29
2023-10-11 10:19:53              750.8
2023-10-11 10:20:18              32.81
2023-10-11 10:20:19                  0
2023-10-11 10:21:18              10.91
2023-10-11 10:21:18              54.89
2023-10-11 10:21:19              95.12
2023-10-11 10:21:20             132.41
2023-10-11 10:21:21             171.37
2023-10-11 10:21:21             210.51
2023-10-11 10:21:22             248.68
2023-10-11 10:21:23             288.54
2023-10-11 10:21:24             327.39
2023-10-11 10:21:25             365.68
2023-10-11 10:21:25             404.04
2023-10-11 10:21:26             442.48
2023-10-11 10:21:27             480.91
2023-10-11 10:21:28             519.38
2023-10-11 10:21:29             557.83
2023-10-11 10:21:29             596.31
2023-10-11 10:21:30             634.77
2023-10-11 10:21:31             673.21
2023-10-11 10:21:32             711.69
2023-10-11 10:21:32             745.62
2023-10-11 10:21:33             750.82
2023-10-11 12:57:24        <undefined>
2023-10-11 12:58:50             751.12
2023-10-11 13:56:41             728.28
2023-10-11 13:56:42             689.79
2023-10-11 13:56:42             651.33
2023-10-11 13:56:43             612.83
2023-10-11 13:56:44             574.34
2023-10-11 13:56:45             535.86
2023-10-11 13:56:45             497.36
2023-10-11 13:56:46             458.88
2023-10-11 13:56:47             420.39
2023-10-11 13:56:48              381.9
2023-10-11 13:56:49             343.42
2023-10-11 13:56:49             305.04
2023-10-11 13:56:50             266.16
2023-10-11 13:56:51             227.87
2023-10-11 13:56:52             188.98
2023-10-11 13:56:53             149.95
2023-10-11 13:56:54             112.17
2023-10-11 13:56:55              34.52
2023-10-11 13:56:56               2.73
2023-10-11 13:57:42        <undefined>
2023-10-11 14:26:45                  0
2023-10-11 14:35:18              33.99
2023-10-11 14:35:19              75.95
2023-10-11 14:35:20             115.81
2023-10-11 14:35:21             152.72
2023-10-11 14:35:21             191.52
2023-10-11 14:35:22             229.86
2023-10-11 14:35:23             269.69
2023-10-11 14:35:24             346.48
2023-10-11 14:35:25             423.27
2023-10-11 14:35:26              461.7
2023-10-11 14:35:27             500.17
2023-10-11 14:35:28             538.63
2023-10-11 14:35:29              577.1
2023-10-11 14:35:30             615.55
2023-10-11 14:35:31             654.02
2023-10-11 14:35:32             730.89
2023-10-11 14:35:33             750.81
2023-10-11 15:38:15             742.86
2023-10-11 15:38:16             706.66
2023-10-11 15:38:17             684.35
2023-10-11 15:43:27             666.21
2023-10-11 15:43:27              627.7
2023-10-11 15:43:28             589.22
2023-10-11 15:43:29              550.7
2023-10-11 15:43:30             512.24
2023-10-11 15:43:30             473.73
2023-10-11 15:43:31             435.23
2023-10-11 15:43:32             396.79
2023-10-11 15:43:33             358.25
2023-10-11 15:43:34             319.77
2023-10-11 15:43:34             281.17
2023-10-11 15:43:35             242.42
2023-10-11 15:43:36             203.13
2023-10-11 15:43:37             164.87
2023-10-11 15:43:37             125.53
2023-10-11 15:43:38              87.38
2023-10-11 15:43:39              47.27
2023-10-11 15:43:40               12.3
2023-10-11 15:43:40                  0
2023-10-11 17:31:33        <undefined>
2023-10-11 17:44:12                  0
