        Date        hcnps_intlk_cz_t_back_4
2023-10-01 00:00:00                  21.175
2023-10-01 00:00:26                  21.208
2023-10-01 00:00:53                   21.17
2023-10-01 00:01:21                  21.193
2023-10-01 00:04:08                   21.17
2023-10-01 00:04:36                  21.194
2023-10-01 00:05:31                  21.223
2023-10-01 00:05:59                  21.181
2023-10-01 00:06:27                  21.228
2023-10-01 00:06:55                  21.198
2023-10-01 00:10:37                  21.224
2023-10-01 00:13:51                  21.178
2023-10-01 00:14:19                  21.229
2023-10-01 00:15:15                  21.201
2023-10-01 00:15:43                  21.225
2023-10-01 00:16:38                  21.203
2023-10-01 00:19:25                  21.232
2023-10-01 00:21:16                  21.206
2023-10-01 00:24:31                  21.233
2023-10-01 00:25:54                  21.194
2023-10-01 00:26:49                  21.223
2023-10-01 00:28:13                  21.175
2023-10-01 00:28:41                  21.221
2023-10-01 00:30:04                  21.186
2023-10-01 00:30:32                  21.216
2023-10-01 00:31:55                  21.188
2023-10-01 00:32:23                  21.211
2023-10-01 00:34:42                  21.189
2023-10-01 00:36:33                  21.213
2023-10-01 00:37:01                  21.157
2023-10-01 00:39:20                   21.18
2023-10-01 00:41:39                  21.155
2023-10-01 00:43:02                  21.201
2023-10-01 00:43:30                   21.16
2023-10-01 00:44:25                  21.184
2023-10-01 00:45:21                  21.142
2023-10-01 00:45:49                  21.168
2023-10-01 00:47:12                  21.142
2023-10-01 00:48:08                  21.177
2023-10-01 00:48:36                  21.142
2023-10-01 00:49:59                  21.169
2023-10-01 00:51:50                  21.142
2023-10-01 00:53:13                  21.164
2023-10-01 00:53:41                  21.139
2023-10-01 00:57:23                  21.161
2023-10-01 00:57:51                  21.137
2023-10-01 00:58:47                  21.164
2023-10-01 01:00:10                  21.137
2023-10-01 01:01:06                  21.159
2023-10-01 01:03:25                  21.134
2023-10-01 01:05:16                  21.159
2023-10-01 01:07:35                  21.124
2023-10-01 01:20:05                    21.1
2023-10-01 01:29:21                  21.079
2023-10-01 01:32:35                  21.105
2023-10-01 01:33:03                  21.071
2023-10-01 01:37:13                  21.051
2023-10-01 01:39:04                  21.079
2023-10-01 01:40:55                  21.044
2023-10-01 01:41:23                  21.066
2023-10-01 01:41:51                  21.039
2023-10-01 01:57:36                  21.019
2023-10-01 01:58:31                   21.04
2023-10-01 01:58:59                  21.017
2023-10-01 01:59:27                  21.047
2023-10-01 02:00:22                  21.022
2023-10-01 02:00:50                  21.042
2023-10-01 02:01:46                  21.022
2023-10-01 02:05:56                  21.042
2023-10-01 02:07:19                  21.017
2023-10-01 02:11:29                   21.04
2023-10-01 02:11:57                  21.017
2023-10-01 02:14:16                  21.052
2023-10-01 02:16:35                  21.005
2023-10-01 02:17:03                   21.03
2023-10-01 02:24:55                  21.009
2023-10-01 02:25:23                  21.035
2023-10-01 02:25:51                  21.009
2023-10-01 02:26:18                  21.039
2023-10-01 02:26:46                  21.014
