        Date        hcnps_intlk_chiller_CZ_read_chiller_temp
2023-10-05 08:00:00                                    20.04
2023-10-05 08:01:15                                    20.01
2023-10-05 08:03:06                                    19.98
2023-10-05 08:05:52                                    19.95
2023-10-05 08:24:50                                    19.98
2023-10-05 08:25:17                                    19.95
2023-10-05 08:44:42                                    19.98
2023-10-05 08:59:02                                    20.01
2023-10-05 08:59:30                                    19.98
2023-10-05 09:01:21                                    20.01
2023-10-05 09:02:16                                    19.99
2023-10-05 09:03:12                                    19.96
2023-10-05 09:03:39                                    19.99
2023-10-05 09:11:59                                    19.96
2023-10-05 09:12:54                                       20
2023-10-05 09:20:18                                    19.97
2023-10-05 09:21:13                                       20
2023-10-05 09:22:36                                    19.97
2023-10-05 09:24:27                                       20
2023-10-05 09:28:37                                    19.97
2023-10-05 09:30:00                                       20
2023-10-05 09:31:51                                    19.97
2023-10-05 09:32:47                                       20
2023-10-05 10:19:56                                    19.97
2023-10-05 10:21:19                                       20
2023-10-05 10:28:42                                    20.42
2023-10-05 10:29:10                                    20.58
2023-10-05 10:29:37                                    20.72
2023-10-05 10:30:04                                    20.85
2023-10-05 10:30:32                                    20.99
2023-10-05 10:30:58                                    20.36
2023-10-05 10:31:25                                    20.33
2023-10-05 10:31:52                                    20.23
2023-10-05 10:32:19                                    20.18
2023-10-05 10:32:45                                    20.14
2023-10-05 10:33:12                                    20.11
2023-10-05 10:33:39                                    20.07
2023-10-05 10:34:05                                    20.03
2023-10-05 10:34:59                                    19.96
2023-10-05 10:35:26                                    19.93
2023-10-05 10:39:26                                    19.96
2023-10-05 10:40:20                                    19.93
2023-10-05 10:42:33                                    19.96
2023-10-05 10:43:27                                    19.92
2023-10-05 10:43:54                                    19.95
2023-10-05 10:47:28                                    19.99
2023-10-05 10:48:21                                    19.96
2023-10-05 10:52:48                                    19.99
2023-10-05 10:58:36                                    19.96
2023-10-05 11:01:16                                    19.99
2023-10-05 11:03:03                                    20.01
2023-10-05 11:03:30                                    19.98
2023-10-05 11:27:34                                    19.95
2023-10-05 11:28:00                                    19.98
2023-10-05 12:13:01                                    19.95
2023-10-05 12:13:27                                    19.98
2023-10-05 12:14:48                                    19.95
2023-10-05 12:15:41                                    19.98
2023-10-05 12:16:08                                    19.95
2023-10-05 12:17:01                                    19.98
2023-10-05 12:17:55                                    19.95
