        Date        hcnps_intlk_chiller_EZ_read_chiller_temp
2023-10-05 08:00:00                                    20.03
2023-10-05 08:00:20                                    19.99
2023-10-05 08:01:43                                    20.01
2023-10-05 08:03:34                                    19.99
2023-10-05 08:05:52                                    20.01
2023-10-05 08:06:20                                    19.99
2023-10-05 08:07:43                                    20.01
2023-10-05 08:10:02                                    19.99
2023-10-05 08:10:30                                    20.01
2023-10-05 08:11:25                                    19.99
2023-10-05 08:12:48                                    20.01
2023-10-05 08:15:07                                    19.98
2023-10-05 08:20:40                                    19.94
2023-10-05 08:22:03                                    19.98
2023-10-05 08:22:59                                    19.94
2023-10-05 08:25:45                                    19.97
2023-10-05 08:26:13                                    19.93
2023-10-05 08:27:36                                    19.96
2023-10-05 08:32:13                                    19.92
2023-10-05 08:33:09                                    19.95
2023-10-05 08:38:42                                    19.98
2023-10-05 08:39:09                                    19.95
2023-10-05 08:41:56                                    19.98
2023-10-05 08:43:47                                    19.93
2023-10-05 08:44:14                                    19.96
2023-10-05 08:56:16                                    19.99
2023-10-05 08:57:11                                    19.95
2023-10-05 09:08:44                                    19.98
2023-10-05 09:09:12                                    19.95
2023-10-05 09:10:35                                    19.99
2023-10-05 09:11:59                                    19.96
2023-10-05 09:23:32                                    19.93
2023-10-05 09:24:55                                    19.96
2023-10-05 09:26:46                                    19.93
2023-10-05 09:28:09                                    19.96
2023-10-05 09:30:28                                    20.01
2023-10-05 09:32:19                                    19.98
2023-10-05 09:32:47                                    20.02
2023-10-05 09:36:29                                    20.06
2023-10-05 09:38:20                                    20.03
2023-10-05 09:38:47                                    20.07
2023-10-05 09:39:43                                    20.04
2023-10-05 09:44:48                                    20.07
2023-10-05 09:46:11                                    20.04
2023-10-05 09:49:25                                    19.99
2023-10-05 09:49:53                                    20.04
2023-10-05 09:50:21                                    20.01
2023-10-05 09:52:12                                    19.99
2023-10-05 09:53:35                                    20.01
2023-10-05 09:54:03                                    19.97
2023-10-05 09:57:17                                       20
2023-10-05 09:57:44                                    19.96
2023-10-05 10:01:26                                    19.99
2023-10-05 10:06:04                                    19.96
2023-10-05 10:12:04                                    19.93
2023-10-05 10:13:00                                    19.97
2023-10-05 10:14:23                                    19.94
2023-10-05 10:16:14                                    19.97
2023-10-05 10:20:24                                    19.94
2023-10-05 10:21:47                                    19.98
2023-10-05 10:28:42                                    20.17
2023-10-05 10:29:10                                    20.32
2023-10-05 10:29:37                                    20.49
2023-10-05 10:30:04                                    20.66
2023-10-05 10:30:32                                    20.82
2023-10-05 10:30:58                                    20.77
2023-10-05 10:31:25                                    21.31
2023-10-05 10:31:52                                    20.75
2023-10-05 10:32:19                                    20.58
2023-10-05 10:32:45                                    20.35
2023-10-05 10:33:12                                    20.24
2023-10-05 10:33:39                                    20.13
2023-10-05 10:34:05                                    20.02
2023-10-05 10:34:32                                    19.95
2023-10-05 10:34:59                                    19.87
2023-10-05 10:35:26                                     19.8
2023-10-05 10:35:52                                    19.87
2023-10-05 10:36:19                                    19.83
2023-10-05 10:37:13                                    19.88
2023-10-05 10:38:33                                    19.91
2023-10-05 10:39:26                                    19.96
2023-10-05 10:40:46                                    19.99
2023-10-05 10:42:33                                    20.01
2023-10-05 10:44:20                                    20.04
2023-10-05 10:45:14                                       20
2023-10-05 10:45:41                                    20.03
2023-10-05 10:56:49                                       20
2023-10-05 10:59:03                                    20.03
2023-10-05 11:00:23                                       20
2023-10-05 11:02:10                                    19.97
2023-10-05 11:05:17                                    19.93
2023-10-05 11:06:10                                    19.96
2023-10-05 11:07:04                                    19.93
2023-10-05 11:07:31                                    19.96
2023-10-05 11:09:18                                    19.93
2023-10-05 11:12:51                                    19.96
2023-10-05 11:16:25                                    19.99
2023-10-05 11:19:59                                    20.01
2023-10-05 11:20:26                                    19.99
2023-10-05 11:23:06                                    20.02
2023-10-05 11:25:47                                    19.99
2023-10-05 11:26:13                                    20.02
2023-10-05 11:32:01                                    19.99
2023-10-05 11:32:54                                    20.01
2023-10-05 11:36:28                                    20.04
2023-10-05 11:36:55                                    20.01
2023-10-05 11:44:30                                    20.04
2023-10-05 11:48:57                                    20.01
