        Date        hchv30:00:000:VMon
2023-10-05 08:00:00             680.84
2023-10-05 13:07:18             540.45
2023-10-05 13:07:19                  0
2023-10-05 13:25:21              16.26
2023-10-05 13:25:22              59.31
2023-10-05 13:25:22               99.8
2023-10-05 13:25:23                138
2023-10-05 13:25:24             175.35
2023-10-05 13:25:25             214.98
2023-10-05 13:25:25             254.79
2023-10-05 13:25:26              332.2
2023-10-05 13:25:27             370.46
2023-10-05 13:25:28             408.94
2023-10-05 13:25:29             447.29
2023-10-05 13:25:30             485.75
2023-10-05 13:25:30             524.24
2023-10-05 13:25:31             562.71
2023-10-05 13:25:32             601.17
2023-10-05 13:25:32             639.64
2023-10-05 13:25:35             661.16
2023-10-05 13:25:36             584.28
2023-10-05 13:25:37             545.83
2023-10-05 13:25:37             507.33
2023-10-05 13:25:38             468.85
2023-10-05 13:25:39             430.38
2023-10-05 13:25:40             391.94
2023-10-05 13:25:40             353.58
2023-10-05 13:25:41             314.93
2023-10-05 13:25:42             276.13
2023-10-05 13:25:43             237.41
2023-10-05 13:25:44             198.29
2023-10-05 13:25:44             160.28
2023-10-05 13:25:45             122.96
2023-10-05 13:25:46              82.94
2023-10-05 13:25:47              41.95
2023-10-05 13:25:47               9.43
2023-10-05 13:25:48                  0
2023-10-05 13:32:31              26.69
2023-10-05 13:32:32              69.29
2023-10-05 13:32:33             110.91
2023-10-05 13:32:33             148.65
2023-10-05 13:32:34             185.79
2023-10-05 13:32:35             224.95
2023-10-05 13:32:36             264.85
2023-10-05 13:32:37             303.04
2023-10-05 13:32:38             341.88
2023-10-05 13:32:38             380.04
2023-10-05 13:32:39             418.55
2023-10-05 13:32:40             456.91
2023-10-05 13:32:41             495.38
2023-10-05 13:32:42             533.88
2023-10-05 13:32:43             610.79
2023-10-05 13:32:43             649.27
2023-10-05 13:32:45             680.85
